FSC_A	FSC_H	SSC_A	SSC_H	CD16_FITC	CD7_PE	CD10_ECD	CD13_PC5_5	CD64_PC7	CD34_APC	CD14_APC_A700	HLA_DR_APC_A750	CD11b_PB	CD45_KrO
2192	1616	2332	2096	3428	744	2296	1980	544	0	1992	1068	3032	2840
2380	1736	3144	2920	3228	1020	1520	1932	740	712	1684	780	2824	2692
2112	1464	4092	4052	1028	636	968	708	1536	860	0	588	1948	2336
712	592	476	432	584	344	308	260	520	844	460	1132	556	1336
2272	1532	2664	2324	3072	280	1844	1772	664	576	1696	360	2740	2672
1108	916	384	368	340	144	404	372	0	792	0	2784	932	3176
980	772	2852	2556	2812	516	1484	2080	996	2296	2164	1184	2480	2548
2108	1540	2272	2124	3332	436	2036	1820	332	712	2088	1104	2668	2648
2300	1704	1852	1736	3140	1000	1636	1864	800	660	1500	568	2636	2784
864	752	652	560	380	72	532	844	0	704	404	540	640	1084
2436	1708	2900	2556	3152	940	2332	1976	0	484	1444	872	2920	2740
2512	1840	2976	2692	3324	1048	2204	1740	1052	476	1928	0	2844	2716
2552	1844	3404	3060	3368	1364	2324	2068	188	1056	1964	1000	2920	2748
2360	1688	2320	2160	3080	0	1792	1644	0	564	1468	792	2496	2596
1352	1100	456	412	320	2732	0	748	184	312	160	716	872	3376
2260	1588	3272	2872	1696	92	780	896	1760	556	1196	0	2952	2580
2656	1908	3456	3068	3180	856	1980	1928	820	764	1604	0	2828	2844
2868	1996	4092	3684	2212	776	988	776	2168	760	568	1064	2832	2536
2208	1532	2636	2332	3144	956	1628	1836	1224	0	2052	772	3152	2912
2680	1868	2672	2332	3372	1344	2220	2252	1324	480	1704	932	2868	2664
532	444	564	456	1856	2668	0	1540	644	1024	1440	1792	2128	3112
2476	1744	2628	2320	3240	956	1824	1656	432	1004	1492	260	2672	2664
828	568	4092	4052	3008	708	1616	1992	876	1852	1684	1020	2348	2376
2300	1672	3292	3092	3448	1384	2252	1992	1276	552	1704	0	2764	2696
2576	1832	3384	3224	1556	640	992	888	1920	740	1016	880	2816	2480
1364	1064	548	488	664	324	568	152	32	444	728	2112	1500	3332
2256	1696	2128	1980	2968	760	1908	1636	0	132	1296	668	2868	2740
2452	1764	2348	2120	3296	836	2320	1828	800	512	1444	156	2836	2692
2200	1680	1696	1592	3328	844	1812	1764	524	812	1592	592	2972	2684
1280	972	480	420	2352	2856	0	900	624	840	0	1320	2920	3416
2676	1892	3648	3280	3256	808	2220	2120	604	968	2040	0	2796	2764
1236	960	484	456	0	2404	0	0	0	464	0	2636	776	3396
2408	1724	2544	2396	1512	712	864	820	1984	764	796	132	2904	2560
2276	1600	2832	2620	3288	1016	2380	2108	0	612	1720	220	2812	2708
2468	1848	2612	2468	3112	412	1264	1764	520	0	1828	796	2788	2828
2692	1860	2756	2472	2868	852	1788	1912	624	640	1584	208	2876	2728
2552	1840	2648	2480	3096	772	2128	1948	0	228	1832	828	2616	2560
1968	1376	2548	2324	3032	612	1692	1788	0	144	1572	0	2776	2772
2300	1648	3780	3384	1028	736	1008	692	2212	856	424	864	2656	2472
684	616	344	324	580	732	820	1096	1028	1404	324	3112	740	3080
2432	1864	2468	2320	3356	976	1936	1836	0	440	1448	380	2648	2620
2220	1600	2932	2768	3252	1216	1900	1864	0	796	1672	628	2724	2712
1080	820	1212	1028	48	668	844	2496	2860	0	3448	2308	2852	3152
2160	1440	3960	3308	1044	840	1068	636	1008	636	900	240	1276	2160
2824	1816	4060	3580	1120	956	920	1172	1356	892	360	944	1300	2352
1480	1156	716	676	644	2616	0	308	48	0	488	1424	1020	3300
1108	948	328	324	172	192	284	556	0	0	1460	3128	1116	2876
2240	1548	4092	4052	984	792	996	436	2068	500	252	660	1664	2508
1796	1240	1200	996	476	0	580	1516	2856	1296	3192	2196	2940	3128
2044	1376	1684	1528	1488	424	1348	1772	2156	0	3012	1732	2504	2904
1452	1140	560	516	692	3268	0	0	668	604	0	312	452	3436
456	416	516	516	2136	656	1120	1480	760	1800	1544	984	1772	1912
2340	1680	2396	2192	3220	1192	2248	1920	960	0	2088	480	2896	2700
2396	1712	3260	3000	3244	860	2316	2168	908	728	1824	992	2636	2680
1012	848	416	392	2512	2932	596	520	348	284	0	488	2200	3312
2112	1504	2160	1764	2588	748	1196	1216	424	840	1376	596	2744	2520
1984	1372	3424	3040	892	704	488	364	1880	712	1128	0	2616	2268
2224	1420	2292	2024	3252	896	2328	2000	1240	676	1704	640	2632	2712
2372	1664	2428	2212	3196	1276	1964	1588	836	940	1660	628	2652	2608
2408	1596	3152	2748	2896	556	1524	1672	692	256	1596	464	2788	2836
1072	540	4092	3604	2920	916	1652	2172	1092	2376	2040	1320	2564	2644
2524	1800	3056	2716	2928	1016	2024	1868	280	688	1676	804	2912	2792
1964	1376	3064	2768	1396	540	516	492	1844	868	624	756	2896	2332
2340	1704	2396	2280	3204	0	1912	1684	812	576	1708	816	2848	2560
2256	1600	2756	2500	2908	724	1756	1636	0	236	1824	860	2720	2712
2328	1692	2748	2504	3316	988	1948	2088	780	748	2004	552	2764	2740
600	524	452	412	172	216	416	600	868	888	0	3040	812	3244
2476	1892	2488	2296	2936	236	1512	1460	544	680	1472	580	2556	2604
2344	1700	2672	2392	3244	988	2312	2168	928	0	1940	272	2960	2860
2928	2096	3112	2836	3284	1172	2132	2080	628	760	1824	840	2988	2740
2880	2016	4092	3700	2556	772	1020	1264	324	916	348	248	2912	2608
2396	1712	2912	2844	1780	744	704	788	1876	592	460	808	2792	2452
2300	1680	2348	2124	3340	876	2148	1908	0	456	2172	636	2792	2676
2252	1488	3832	3296	2932	708	1872	1728	540	252	1888	668	2868	2780
2200	1532	2048	1836	3020	944	1712	1660	192	156	1512	0	2696	2688
680	612	836	672	892	492	0	604	464	1304	992	1764	804	1788
2040	1164	2304	1700	968	728	904	1472	1432	944	384	632	1492	2336
2324	1624	3980	3584	1048	720	688	844	2412	832	508	0	2064	2472
2520	1748	2932	2680	3008	920	1484	1556	556	764	1656	0	2676	2720
1348	1036	388	372	2908	2952	0	1180	0	408	0	1972	2444	3408
2648	1844	3004	2752	2792	1008	1088	1236	708	952	2048	940	2876	2680
2256	1628	2452	2208	3268	972	2140	2092	1020	776	1956	0	2832	2772
2252	1596	2372	2140	3292	780	2132	1800	776	0	1848	512	2800	2636
2384	1792	3080	2868	3164	1000	1928	1668	1180	832	1572	424	2844	2744
2436	1804	2720	2568	3148	1128	1804	1828	564	476	1880	788	2632	2656
620	452	1352	1052	544	372	0	1584	1872	1188	1912	1876	1908	2284
2264	1704	2444	2348	3148	1208	1600	1832	580	0	2132	888	3044	2900
2436	1660	2860	2508	2972	616	1472	1720	680	892	1612	148	2912	2888
2296	1660	2640	2476	3300	976	2124	1824	120	768	1524	664	2932	2864
2304	1772	2180	2080	2840	1064	1008	1528	184	824	1068	212	2580	2860
2648	1700	4092	3876	1004	756	892	756	2224	340	836	256	2764	2664
2676	1952	2732	2476	3124	952	1968	1672	916	460	2036	0	2736	2696
2500	1780	3656	3144	2732	1040	912	1248	1164	556	1212	180	2760	2628
2248	1488	2992	2600	2788	900	1420	1824	1072	808	1784	884	2844	2784
520	456	320	296	312	1508	24	1736	1124	288	1568	1764	648	2932
1300	1088	628	544	272	2572	1192	0	284	336	0	632	764	3340
1744	1216	4092	4020	1680	1048	1332	2068	2472	1928	1804	1348	3100	2948
2616	1852	3388	3136	3388	1352	1808	2012	872	912	1428	560	2460	2544
2564	1960	2268	2124	3048	80	1728	1716	0	500	1400	748	2620	2568
1176	1024	388	352	188	2756	0	0	12	500	0	576	2412	2544
2324	1776	2436	2288	3336	1048	1912	1860	1076	1088	1308	556	2896	2788
3976	2732	4092	4052	1672	644	1036	1224	1964	692	892	268	3172	2712
3048	2108	4092	3952	3260	1240	2108	1880	872	768	1852	720	3060	2832
2040	1484	2512	2416	1400	520	336	356	1832	304	920	740	2688	2176
2500	1848	3004	2692	3336	1328	2100	1996	808	652	1528	676	2772	2688
2456	1724	4092	4052	1312	844	860	552	2028	708	552	816	2708	2436
1352	1032	728	596	440	2676	0	872	128	248	280	872	772	3220
2472	1804	2540	2268	3012	1080	2136	1968	884	0	2264	312	2536	2596
1372	1100	364	348	200	284	248	0	276	0	0	3044	1940	2984
772	616	544	532	472	2632	0	676	476	204	72	1684	944	3280
1412	1116	520	468	312	2596	0	648	316	68	0	836	208	3576
1284	984	612	560	360	2440	0	716	0	808	0	1940	1708	3396
2668	1940	3116	2896	2760	420	1212	1384	1348	700	1604	0	2780	2612
2428	1776	2240	2124	3108	1164	1576	1504	672	736	1488	456	2912	2768
2088	1492	2060	1848	3068	540	2060	1548	532	572	1548	856	2984	2812
2168	1496	2224	2024	2728	756	760	1340	284	0	1676	536	2984	2656
1732	1208	1176	1044	200	900	240	2244	2716	2052	3684	2168	3152	3168
2244	1444	3056	2776	1736	44	712	760	1684	372	1808	536	2724	2504
2644	1968	2884	2672	2836	148	1800	1588	912	864	1788	748	2880	2680
2496	1816	2244	2056	3128	1044	2016	2136	0	540	2104	0	2656	2596
2580	1720	3896	3340	1644	784	828	528	2156	524	916	224	2848	2444
2284	1612	3580	3256	768	636	784	148	1604	452	356	728	1804	2172
2396	1760	2428	2204	3264	1248	1788	2052	1204	592	1744	512	2748	2752
1428	1132	452	416	0	2420	0	0	960	628	0	2708	1136	3280
1076	856	340	312	320	392	1916	928	0	0	0	2704	740	2280
2060	1484	2424	2212	2688	108	1368	1404	556	748	1168	0	2536	2652
2900	2116	4092	3924	3032	820	1456	1784	356	780	1112	1092	2936	2704
1716	1232	1960	1816	1064	576	172	564	2160	840	412	552	2708	2336
2424	1780	3200	2912	3316	1104	2456	2252	724	552	1504	932	2932	2912
2492	1764	3180	2844	2836	584	1856	1492	336	644	1308	0	2796	2752
2600	1772	3536	3120	3080	1244	2152	1868	0	1000	1448	1004	2916	2744
2544	1844	2580	2372	3176	1292	2088	1856	0	0	1628	472	2712	2628
2440	1704	3260	2952	3396	1124	2192	2076	756	516	2136	500	2988	2832
1940	1244	3544	3192	3328	1340	2136	2152	1372	844	1792	196	2728	2752
740	640	712	684	500	472	0	1360	148	0	1568	2404	1104	2796
2376	1588	3196	3064	1480	656	832	1256	1920	608	776	512	2960	2620
1304	1012	416	372	188	2580	0	0	336	516	0	112	0	3384
2316	1600	3228	3064	3248	816	2312	1800	980	1032	1896	0	2820	2652
2400	1708	2824	2524	2988	800	1856	1888	1476	620	1476	396	2756	2624
1340	1100	444	412	372	2244	0	492	0	56	0	744	64	3412
1180	1012	252	248	164	2012	252	0	0	400	0	680	324	3104
4092	2624	4092	3596	3500	1216	2272	2192	0	812	1692	720	3100	3068
2560	1716	2724	2384	3376	1084	2164	1972	676	488	1824	684	3076	2880
2648	1816	4060	3724	988	936	772	492	2284	668	456	1232	2816	2604
2144	1556	1708	1524	2856	352	1272	1372	380	248	1312	476	2464	2644
700	648	376	356	480	200	248	1152	712	1040	0	2528	848	2828
1216	948	508	444	2220	3188	0	0	1080	0	0	1588	2288	3452
2304	1728	3100	2824	3112	940	1628	1716	8	304	1656	676	2660	2656
1340	1064	516	472	2204	2904	0	1196	140	112	20	1004	2204	3436
2784	1932	3840	3568	2380	616	1028	1176	1000	1172	824	520	2952	2700
1216	1020	560	520	416	2452	552	0	0	428	240	648	620	3148
940	752	728	664	616	284	648	696	516	1104	588	828	708	1200
572	444	452	384	480	640	72	452	0	1172	0	3128	724	3016
2180	1620	2212	2004	3012	648	1516	1632	496	796	1820	712	2780	2676
2392	1736	2412	2164	2936	656	1700	1756	636	136	1896	0	2904	2780
2200	1444	2932	2460	3012	824	1724	1660	380	740	1724	1012	2868	2756
952	752	3872	3708	2668	912	1440	1848	1012	1908	1828	1188	2400	2428
2832	1936	4092	3900	2856	1076	1108	1528	1600	744	1692	948	3136	2864
2252	1584	2880	2724	1532	164	944	892	2228	520	760	928	2964	2672
