FSC_A	FSC_H	SSC_A	SSC_H	CD16_FITC	CD7_PE	CD10_ECD	CD13_PC5_5	CD64_PC7	CD34_APC	CD14_APC_A700	HLA_DR_APC_A750	CD11b_PB	CD45_KrO
1068	796	452	396	464	2608	1032	0	432	628	696	320	1412	3156
1280	740	2444	1544	1156	3076	1468	1900	1524	3488	728	3456	1536	2828
956	620	1492	1388	0	204	352	92	408	780	592	828	516	876
804	592	340	304	316	2792	1228	0	0	512	648	568	1392	3028
1468	1052	496	452	512	3020	812	552	0	968	812	552	1468	3192
1948	1172	1132	816	840	2320	292	2200	1176	3448	1124	2632	1380	2716
1312	1004	480	404	652	412	580	0	608	596	768	884	1800	3212
1488	1072	588	504	1960	2740	960	0	492	696	620	532	2556	3380
2256	1212	1116	852	884	2468	816	2528	1356	2100	1464	2848	1432	2964
956	752	788	760	104	20	648	732	0	888	588	0	656	1040
1428	992	612	536	564	2476	252	456	388	924	476	1180	1052	3304
692	560	268	248	300	124	540	916	2096	544	756	0	1224	2248
1156	836	620	488	560	3008	1140	0	840	584	732	716	1196	3316
1552	1044	676	584	960	1836	788	1792	1280	1080	1944	2120	1508	2140
936	664	584	512	44	200	468	360	252	904	684	448	732	1168
1956	1116	1628	1356	840	2980	1320	2284	1548	3736	0	3412	1464	2860
1516	940	540	452	360	2600	632	652	0	268	724	628	1744	2728
1132	816	512	444	2456	2168	936	240	704	836	692	148	2336	3312
1852	1016	1408	1100	876	2452	848	1916	568	896	776	1276	1516	2868
1760	948	3128	1924	1436	3044	1180	1964	1264	4024	0	1748	1572	2948
756	480	1612	1136	1012	2476	468	1680	0	3448	0	2704	1032	2396
968	684	436	384	480	3188	884	876	100	632	524	244	1276	3268
1372	1080	524	448	400	2992	0	1060	0	184	440	692	1372	3124
1200	864	2232	1780	1028	2700	1072	1652	1088	2704	804	2528	1128	2516
852	576	588	460	0	168	276	540	0	908	444	928	460	1000
2200	1216	1452	1104	824	2528	868	2336	672	3764	0	3216	1348	2856
2048	1224	964	704	1024	3312	1508	2792	1872	3508	2148	3240	1668	2992
876	436	384	292	176	124	1036	1036	0	680	724	960	892	2500
2616	1388	1676	1004	968	2688	1292	1464	492	1004	448	536	1388	2712
1644	900	1148	892	768	2596	928	2220	0	3552	0	2692	1476	2444
1092	832	388	344	444	2960	1012	0	784	804	568	548	1584	3244
944	604	648	532	2548	2808	432	816	656	692	884	376	2584	3480
1632	1036	1004	764	708	2772	1196	2232	1164	3504	0	2736	1460	2620
2796	1280	1276	828	988	2744	1240	2128	960	3704	1340	1592	1480	2844
740	640	252	244	1444	472	356	448	1716	408	2540	2600	1808	2156
1352	968	644	548	952	3144	1348	0	372	864	936	1360	2556	3232
1880	1152	1416	1108	800	2328	832	2180	704	3556	312	2844	1184	2748
1760	1144	1280	1092	1196	836	984	1256	2780	880	1588	0	2244	2716
1136	856	520	480	416	2980	0	0	988	536	572	680	1104	3272
2128	1092	1768	1260	976	2916	592	1680	1132	3572	0	3172	1480	2888
