FSC_A	FSC_H	SSC_A	SSC_H	CD15_FITC	CD123_PE	CD117_ECD	CD13_PC5_5	CD33_PC7	CD34_APC	CD38_APC_A700	HLA_DR_APC_A750	CD19_PB	CD45_KrO
1676	1036	996	828	996	1140	564	2156	2764	172	2588	2152	1112	3208
1160	912	368	328	380	0	0	212	216	900	2904	0	904	3388
2056	1356	1508	1304	932	1188	632	2404	2860	836	2800	2144	1192	3212
604	520	476	384	640	312	616	268	92	20	892	752	752	1180
1400	1176	1412	1152	284	140	628	464	220	808	1204	660	724	1208
2736	1784	3728	3240	2448	900	540	2076	1504	700	1860	632	1220	2864
1400	896	632	536	508	632	2308	1128	2216	3108	2716	3508	1136	2208
2784	1744	3248	2876	2884	948	364	1588	1660	540	1740	1272	1080	2696
2024	1244	2108	1656	2400	740	284	2124	1596	876	1492	864	836	3004
2628	1804	2760	2420	2440	724	808	1980	1688	188	1708	828	948	2876
1932	1316	2600	2216	2292	776	512	804	1928	496	2072	896	916	2224
2588	1776	3668	3116	2596	612	880	1788	1520	912	2012	340	1192	2864
1368	1048	3200	2832	2496	976	1316	2296	1672	2624	1928	1300	984	2644
3752	2380	4092	4048	1632	1180	1384	1488	2588	1232	2280	2120	1724	3180
1184	868	580	508	164	0	28	196	108	968	2168	0	812	3308
1904	1184	4092	4048	2660	836	0	988	1888	636	1936	0	848	2520
2040	1088	4092	4048	2728	0	900	1152	1932	956	2264	976	1012	2500
1292	972	476	428	124	0	0	112	580	748	1176	0	928	3348
1896	1280	2460	2068	2276	1100	164	756	1936	660	2032	1120	924	2308
2176	1312	3756	3032	2572	712	724	1696	1732	1164	1972	0	1116	2816
2604	1608	4092	3400	2596	1064	232	1884	1848	1020	1960	480	1224	2732
2280	1500	3296	2620	2688	512	960	1196	2116	532	2060	788	1144	2612
2364	1636	1968	1676	2632	848	0	1836	1696	668	1748	1016	1056	2836
2368	1576	3652	3092	2828	636	1004	1884	1864	992	1736	432	1212	2920
2700	1796	3248	2808	2816	724	1016	1116	1516	1016	1928	904	1172	2620
1104	864	448	420	300	0	228	0	1136	568	2724	160	536	3260
2720	1780	3352	2916	2840	1044	696	2128	1512	1124	1440	984	1216	2916
2440	1604	2172	1876	2492	604	940	2036	1500	1064	1540	1020	1224	2992
2468	1636	3388	3020	2732	656	556	1260	1920	872	2168	92	1216	2560
2120	1408	3400	2928	2312	752	708	696	2288	672	2244	0	1076	2464
1256	948	444	400	504	256	332	0	404	572	1040	0	1108	3412
1304	1024	408	380	404	0	72	96	0	752	908	184	884	3212
1720	1188	4092	4048	2456	912	1328	1516	1860	1132	1880	1108	944	2576
1752	1132	3528	2928	2252	1028	1472	1724	1620	1400	1808	660	892	2444
2444	1680	3056	2684	2756	924	780	1756	1564	448	1680	1144	1244	2832
1768	1204	2544	2216	2400	236	816	636	2228	680	1804	704	1156	2376
2360	1616	3088	2776	2516	492	320	952	1832	232	2512	416	1020	2488
2308	1528	3528	3056	2352	804	848	1180	2092	0	2084	720	1136	2368
1288	932	408	368	520	0	228	576	0	780	2876	656	740	3220
2192	1232	2508	1956	1884	1336	1312	1764	2220	976	3140	920	1416	2552
2212	1436	3028	2512	2436	728	388	1748	1372	1412	1976	780	1032	2696
2744	1848	2944	2660	2856	272	968	1156	1836	796	1760	0	1172	2564
3228	1808	4092	4048	2624	1068	888	1048	2228	452	2684	0	1432	2620
1824	1132	2272	1892	2328	172	788	636	1860	992	2088	256	1060	2372
1460	1032	3832	3292	1888	612	704	1460	1120	1700	1272	764	848	2420
2208	1476	2836	2352	2692	872	528	2228	1764	1032	1872	1004	932	3112
2280	1524	3268	2952	2424	296	796	1560	1576	0	1904	952	1092	2752
3148	2152	4092	4036	1256	1272	1256	1356	1748	1048	1880	888	1776	3088
2044	1384	3132	2684	2344	464	524	752	1944	920	1912	480	1008	2388
2320	1588	2324	2120	2788	548	768	1156	1604	500	2040	0	972	2520
3040	2172	3512	3044	2700	896	1012	1756	1324	644	1772	908	1208	2704
2900	1856	3536	2948	2696	804	892	2096	1656	1056	1920	504	1204	2896
2300	1532	2456	2172	2708	1024	584	1404	1400	500	1904	0	956	2444
2312	1512	2984	2468	2736	0	796	1464	1548	768	1672	0	1040	2668
2732	1580	4092	3628	2784	524	1108	1400	1956	740	2172	856	1320	2696
2468	1548	4092	3524	2244	372	964	988	2276	688	2340	1060	1168	2512
3964	2380	4092	4048	2480	1088	1248	1200	2176	1196	2712	0	1436	2620
2500	1652	4092	4048	2464	988	880	1008	2136	928	2588	756	1300	2560
1596	1076	2504	2140	2352	720	356	828	2096	392	1856	104	1172	2400
2896	1680	4072	3108	2712	1060	788	2168	1904	1676	2072	940	1380	2988
1360	936	1828	1352	1092	1076	692	2600	2796	0	2656	2904	1256	3344
2260	1556	2612	2228	3104	808	328	1340	1748	0	2052	388	1116	2492
2084	1444	3344	2920	2748	0	1212	1032	1992	840	2128	808	1220	2484
3044	1488	4092	2632	1756	1448	0	3428	2120	3028	2788	2192	1452	3008
832	532	3292	2520	2420	996	960	2632	1832	2216	2580	1436	1024	2448
1196	952	392	364	440	0	512	0	140	296	960	92	692	3184
1284	908	4092	4048	2492	1220	1388	2684	1892	2672	2264	1796	1108	2852
2476	1228	1624	1196	1404	1060	396	2460	2768	0	3440	3160	1700	3588
1896	1152	2676	2148	2356	804	724	964	1972	800	2140	1168	1084	2400
2044	1328	3640	3092	2700	756	556	1156	2056	476	2396	1328	1244	2432
