FSC_A	FSC_H	SSC_A	SSC_H	CD15_FITC	CD123_PE	CD117_ECD	CD13_PC5_5	CD33_PC7	CD34_APC	CD38_APC_A700	HLA_DR_APC_A750	CD19_PB	CD45_KrO
4092	2332	1536	1192	1132	860	1096	2428	1612	4068	3012	3196	1648	3084
2908	1932	1928	1668	2324	940	824	1556	912	956	2508	1036	1408	2772
1308	1008	564	508	464	416	552	532	84	588	2408	744	1028	3244
1048	796	432	388	432	212	308	220	0	1096	2604	1044	1108	3204
632	576	136	136	204	212	188	1812	592	2724	1612	0	648	2096
2740	1348	1288	860	1228	796	812	2212	720	3872	2524	1292	1536	2708
2032	1220	1784	1480	2348	2108	944	1220	1348	264	2216	1064	1468	2748
2064	1124	1076	692	708	556	648	2416	620	3560	3228	1516	1448	2696
2232	1208	784	592	920	480	1892	2160	1428	976	3224	0	1292	2864
2404	1420	892	660	912	224	1608	1448	980	2932	3032	1076	1272	2768
1776	1004	924	728	988	364	1200	1804	1192	3540	2380	2756	1184	2516
1196	768	604	520	696	352	1248	1712	756	3248	2812	1988	944	2352
1908	1028	1292	880	828	576	2068	2096	1132	3432	2964	2196	1404	2684
1260	936	360	332	508	256	348	108	388	432	2540	408	1120	3232
2960	1568	1468	1108	1204	660	1832	1836	1396	1132	3108	0	1460	2896
1120	916	1036	936	252	144	472	232	0	1076	736	228	640	984
512	428	136	120	336	0	848	1416	1136	2336	2528	2512	728	2088
2836	1544	1308	972	876	516	576	2040	1164	3880	3156	1728	1368	2936
2720	1484	1160	916	1040	720	2276	1632	972	1512	2832	1060	1440	2756
3020	1456	1660	1200	1276	1088	2028	2372	1172	3736	3020	3272	1588	2964
1020	660	792	584	892	1132	1896	1292	1788	3448	2684	1336	1120	2240
2148	1364	1212	968	1428	996	1344	2068	1520	3508	2272	2340	1464	2740
2128	1204	1064	804	1004	540	1328	1820	1376	3828	3172	3140	1292	2772
2728	1480	1252	1044	992	608	1568	1896	1500	3828	3172	3248	1476	2852
2584	1372	924	720	1356	752	1068	2216	872	1252	2004	1068	1600	2536
2392	1592	2644	2348	3372	1432	1224	1616	1496	2124	2120	0	1268	2684
1688	928	636	468	644	384	1612	1580	632	3436	2464	2172	1224	2520
1708	1148	648	604	1424	1280	1292	1540	1084	1980	2496	3320	1468	2544
3488	1620	1944	1308	1160	720	2272	1752	816	3840	3368	3088	1520	2952
1184	872	420	384	636	2172	1640	1608	1300	3536	2248	2784	1076	2484
2608	1432	1280	972	812	472	1708	2384	1944	3688	3480	1856	1476	2896
3108	1692	1204	920	1172	1224	2120	2124	848	2360	2404	2580	1408	2588
636	516	208	180	0	60	496	200	56	0	972	772	112	736
2100	1072	944	660	836	408	2024	1428	0	3416	3124	2580	1272	2536
1944	1128	1180	920	672	1508	1124	2384	1620	3672	3124	3060	1368	2712
1596	1104	680	564	612	424	692	248	344	180	2296	0	1196	3424
1020	748	524	468	500	284	212	328	432	0	3228	2004	908	3344
2188	1348	2392	2148	2552	1328	1832	824	976	1108	2572	1016	1252	2520
2008	1160	1064	848	960	668	1208	1976	1352	3280	3032	3004	1348	2620
1212	828	388	352	348	1304	1360	1008	892	2880	2052	2104	1144	2264
2460	1452	936	760	968	496	1484	1576	1064	3528	3608	1964	1348	2784
4092	2100	2096	1344	1628	1076	1308	2144	1192	4084	3500	1732	1764	3036
1280	908	516	492	656	308	412	24	284	0	1352	448	976	3156
3820	1668	2044	1220	1140	872	2052	2688	328	3176	2868	2028	1680	2868
1040	604	740	572	452	1388	1712	412	1632	2616	2484	2060	1184	2260
1296	928	584	536	552	288	364	0	220	776	2408	1144	1232	3308
2824	1532	1288	956	1016	624	2080	2316	1552	3752	2892	3168	1368	2840
3308	1468	1476	888	880	700	1772	2412	2056	3504	3180	3348	1396	2984
2604	1440	1256	964	1372	664	856	2296	1296	3660	2500	1784	1580	2920
1472	1092	744	652	740	368	396	308	128	0	2272	1108	1048	3340
1432	1180	2632	2520	2336	1016	1176	2040	1564	1480	2100	1912	1572	2572
1396	752	2844	1724	1368	1124	1572	2344	1624	3508	3136	2912	1220	2744
1460	1056	632	560	584	328	560	712	976	1520	3424	2124	1184	3348
1988	1192	1548	1140	948	412	2056	2076	1492	3264	2884	2984	1488	2772
2364	1400	1144	884	920	708	828	2060	1296	3780	2620	412	1432	2628
1216	920	504	440	568	132	688	516	232	1004	2992	0	1084	3312
2840	1588	1204	1016	900	648	1672	2156	1468	3600	3048	3020	1292	2740
2280	1296	1168	920	940	700	672	1428	1564	3320	2872	1456	1420	2692
2700	1456	1408	1032	1364	768	1420	2368	1384	3600	2648	2724	1528	2780
2284	1272	1384	1168	1016	460	1520	1600	824	3468	2724	2096	1360	2628
3180	1792	1748	1288	1272	628	1588	2288	1404	3588	3048	3308	1504	2808
2692	1396	1332	980	976	500	2064	2336	1360	3500	3020	3296	1468	2816
1132	768	484	412	508	936	1628	800	1840	3256	2000	1460	1040	2360
1712	968	860	568	864	528	2044	1640	1108	2536	2992	2420	1336	2424
2080	1320	1952	1496	992	924	1204	2128	1452	3920	2848	1536	1528	2924
3804	2064	1196	1012	760	576	2260	488	484	804	2168	432	1460	2320
3760	1828	2956	2432	1296	1000	1868	2472	2100	3996	3756	3256	1672	3368
1424	1076	656	580	564	388	492	248	0	848	856	608	1236	3312
2620	1444	1612	1052	892	688	1876	2404	1648	3740	3116	3204	1384	2880
724	548	1556	1064	1968	1032	1876	2512	1560	1736	3284	1960	1320	2824
3004	1492	1440	1000	1092	864	832	2472	1204	3960	3408	2456	1456	3020
2896	1620	1364	1036	904	580	936	2124	1588	3524	3244	2460	1448	2912
1048	728	560	472	456	760	2488	804	1116	2932	1820	1152	1076	1988
924	616	684	612	1228	1100	1040	488	756	636	2272	272	1508	2376
2448	1272	1204	880	936	948	1712	1580	1140	3508	2424	3008	1472	2760
3084	1500	1240	880	960	660	772	2388	1196	3972	3484	2620	1420	2980
1996	1136	968	756	1020	668	1480	1732	1204	2868	2816	2160	1348	2724
2604	1556	3668	3052	2696	1620	1804	1920	1648	1928	916	1116	2648	3564
848	656	252	232	584	0	2244	260	132	1072	2244	380	740	1916
2288	1192	1476	1144	944	648	1788	1008	1176	3696	2720	984	1392	2936
624	484	184	168	468	236	1496	836	68	832	2312	692	816	1744
532	416	476	440	688	404	504	480	72	172	2144	608	792	3232
2824	1580	1300	976	3152	2540	1664	2560	1208	1152	2748	2100	1812	2968
856	656	296	260	184	404	276	332	220	744	2372	0	820	3152
2440	1464	764	672	784	1224	920	1924	1440	1188	2976	1156	1360	2664
3056	1540	1492	984	1356	1280	2116	1976	796	2504	2992	1372	1556	3076
3452	1584	1524	1072	956	628	1800	1672	1448	3484	2908	3148	1532	2712
1252	928	500	432	540	280	492	128	292	988	2088	0	1060	3280
2376	1380	1440	1088	1020	408	2024	1140	1076	3852	2712	2716	1444	2588
1260	900	428	408	420	1808	1672	1432	1348	3424	2552	2572	1068	2480
2708	1612	1556	1308	1036	1104	1752	1896	1280	3620	2576	2020	1364	2616
1872	1048	832	636	704	656	1216	2048	1484	3452	2396	2900	1232	2708
2360	1280	1132	872	892	712	1776	2328	1780	3480	2676	3028	1328	2896
1528	800	976	684	824	524	1260	1944	688	1080	2832	1708	1416	2596
4092	2328	1512	1076	1160	784	976	1964	1260	4084	3528	1640	1604	3160
1644	1168	496	412	632	388	576	0	376	1096	3020	0	1032	3336
1060	860	448	412	496	304	156	296	92	1016	1004	704	1040	3252
3548	1764	1760	1328	1052	644	1676	1980	1816	3716	3164	3308	1472	2792
1624	920	984	812	884	548	1704	1572	552	2712	1856	2344	1224	2396
2216	1300	1020	764	868	500	1116	1128	1096	3548	2800	2832	1328	2804
1444	964	656	420	500	2860	1084	2184	1460	904	2752	0	884	2780
744	616	696	624	1408	380	732	576	532	1020	1352	800	736	3324
3272	1864	1668	1356	996	732	2020	1536	1124	1504	3448	2104	1480	2968
1604	1120	780	672	576	360	228	1060	504	1340	3624	0	1012	3440
2304	1508	1924	1676	2204	1648	1588	1856	1764	1296	1352	1288	2172	3356
2396	1516	856	732	788	424	1200	1892	1424	3508	2772	3096	1264	2648
848	584	564	496	432	380	1088	196	92	940	3176	1036	1004	3164
3432	1796	1740	1180	972	640	1908	2340	1704	3328	2928	3132	1528	2760
1244	936	524	484	468	308	448	232	460	800	668	660	1008	3140
2524	1392	1460	1072	932	600	1672	2156	0	3568	2760	1836	1452	2648
2368	1264	1204	836	1092	820	616	2204	252	3672	2512	1312	1480	2720
2828	1644	1160	932	900	460	1764	2216	1808	3564	3052	3228	1424	2744
2508	1452	1108	884	868	696	960	1772	1352	3368	2472	2736	1380	2820
1668	1044	884	752	664	556	1876	1968	1816	2656	2896	3032	1280	2764
1632	836	1096	760	940	668	1576	2108	1676	3328	3176	2788	1472	2912
3368	1788	1728	1312	1168	976	1796	2000	1372	3776	2836	3468	1436	2960
1156	900	556	484	452	204	460	448	404	984	3192	1236	660	3240
3416	1904	1536	1072	1352	1076	924	2296	1304	3960	3128	3508	1560	2980
2536	1464	1832	1572	1012	664	1344	1056	928	3060	2760	1796	1292	2240
504	436	88	76	12	168	1840	1696	1132	2972	1944	2440	732	1856
1536	1008	576	480	2272	1856	2488	1396	1476	3504	2372	2592	1048	3040
2372	1344	1488	1124	872	848	1524	2296	1228	3348	2548	1460	1396	2620
1272	932	596	528	684	548	320	112	516	448	2424	604	928	3468
2312	1320	924	692	768	288	1172	2112	912	3612	2668	2712	1272	2744
960	680	468	372	620	368	0	384	636	1224	3120	2052	904	3404
1492	940	596	484	732	1816	1776	1220	780	3528	0	2800	1252	2720
1272	1076	944	856	0	0	288	0	368	572	804	624	704	1016
2152	1236	1720	1364	2108	1140	912	2520	2816	1388	3204	2644	1588	3556
1392	1108	656	572	732	108	568	576	328	972	3236	1344	988	3388
1240	652	768	456	636	536	2132	2040	1348	3324	2620	2780	1244	2652
1684	1060	712	572	892	1864	1488	1696	1024	3432	1808	3016	1260	2584
2384	1384	1112	844	832	880	1732	1736	0	3136	2596	2020	1384	2552
1412	940	2072	1484	1252	860	1772	1600	804	2296	2304	1096	1208	2360
1004	724	628	576	596	464	1080	452	912	0	2932	1696	1116	3284
2632	1424	1108	860	992	696	1484	2136	1496	3612	2772	3280	1444	2560
2192	1460	2476	2236	2016	1548	1076	1352	900	1148	624	708	1968	2912
1380	1012	384	344	572	408	328	168	180	488	1472	668	1060	3284
2528	1224	1528	1032	1028	604	1732	2044	688	3444	2808	2336	1500	2664
584	516	124	108	652	0	1268	836	788	2404	1816	2496	652	2196
2388	1496	784	672	724	600	0	1932	900	3528	2656	0	1400	2428
