FSC-A	FSC-H	FSC-W	SSC-A	SSC-H	SSC-W	CD45	CD22	CD5	CD19	CD79b	CD3	CD81	CD10	CD43	CD38	Time
3332	2255	1512	4075	2257	1848	2588	1259	1090	564	1475	329	1263	2178	2783	473	51
1643	1403	1199	604	454	1360	2474	642	1067	355	681	1083	783	1002	2463	658	54
1277	1123	1164	273	222	1260	2733	2514	1998	2586	1155	726	1577	988	1613	0	54
3288	2280	1476	3862	1875	2108	2590	211	908	777	1308	53	1493	2465	2695	1483	55
1309	1120	1196	449	349	1317	2569	2047	2284	2639	1640	0	1948	983	2486	140	55
1514	1314	1179	328	269	1245	2619	2196	1103	2985	1351	906	1763	636	2490	0	56
1447	1084	1365	4018	2521	1631	2546	1738	481	1585	1281	2463	1969	2381	2662	0	58
1329	1168	1165	338	276	1253	2653	2060	2178	2868	1207	1311	1971	697	2386	0	60
1259	1093	1179	389	302	1317	2713	1734	1771	2690	1760	404	2120	533	2379	428	60
2874	1758	1673	586	307	1956	2761	2178	2121	2856	1767	0	2212	1107	2707	0	62
1771	1381	1313	4094	4000	1047	2890	1834	1585	1286	1948	955	2501	1903	2590	944	63
4094	2497	1678	4094	2591	1617	3014	1390	799	1014	1358	1261	1278	2923	2928	1734	63
1504	1329	1157	340	281	1239	2706	2078	2003	2581	1493	337	1841	1043	2305	105	66
1430	1253	1168	253	205	1262	2605	1891	1462	2456	1422	483	1741	508	2316	100	67
2559	2065	1268	4094	3169	1322	2524	1128	1166	1280	1469	18	872	2365	2736	1354	67
4094	2536	1652	4094	3289	1274	3210	1781	1403	1373	1711	1498	1209	2485	3065	1297	67
1835	1551	1211	600	497	1235	2925	2428	1685	2995	1190	778	2025	1011	2636	0	68
1653	1461	1157	298	271	1123	2703	2038	1833	2851	1393	127	1685	342	2352	0	68
3030	1602	1936	604	276	2241	3015	2281	2248	3034	1722	377	2046	978	2705	0	68
1591	1367	1191	242	182	1363	2674	2253	2060	2676	1125	1369	1587	640	2149	836	69
1524	1353	1152	294	243	1237	2755	2270	1665	2777	1145	306	1525	402	2380	0	70
2960	1908	1588	3263	1620	2062	2481	774	1013	1068	1417	1863	1533	2660	2723	0	71
1362	1189	1172	561	426	1347	3035	2388	1723	3026	1687	843	1925	743	2525	0	72
4094	2675	1566	4094	2973	1410	3418	2230	2473	2776	1898	2853	2475	3062	3355	0	73
1664	1428	1192	557	437	1303	3127	1252	342	500	1142	379	2705	688	2619	363	73
1621	1362	1218	281	198	1454	2911	2147	1724	2874	1247	403	1743	644	2388	0	73
1631	1431	1166	335	289	1186	2597	1978	2037	2839	1264	15	1742	1111	2432	998	75
4094	2418	1733	4094	4012	1044	3611	2043	2387	1739	2135	2740	2871	3138	3485	0	75
2686	2161	1272	4094	3222	1301	2641	1121	1178	777	1626	854	402	2644	2806	0	75
2742	2099	1337	1796	1106	1662	2926	1034	751	1203	1109	1070	624	1262	2699	1608	76
1429	978	1496	1865	1206	1582	2202	2050	1653	1840	1857	2003	2281	1883	2052	1209	76
2584	1874	1411	2886	1744	1694	2960	1233	1081	830	1339	168	2172	1469	2669	1702	76
1372	1194	1176	275	228	1232	2638	2229	1163	2649	1268	176	1625	724	1745	49	77
1616	1294	1278	3533	2696	1341	2420	1517	949	1452	1570	2413	1902	2588	2576	962	79
1498	1303	1177	376	309	1241	2741	2091	1627	2629	1611	0	1579	884	2292	321	80
4027	2443	1687	4094	2127	1970	2740	1403	1339	581	1529	907	972	3045	2673	1516	82
792	396	2047	1502	472	3255	1968	2117	1605	999	1948	1093	2166	2959	2223	2916	82
736	452	1666	1100	376	2995	1501	1557	1083	566	1353	1147	1588	2566	1867	2448	82
3750	2285	1680	3514	2171	1656	2727	1131	952	1281	1097	694	280	2760	2753	1023	83
1915	1038	1888	3600	1673	2202	2055	1846	1921	563	1416	0	646	2720	2565	1303	83
4094	2724	1538	4094	4012	1044	3364	1569	2506	26	1837	2959	2568	3129	3222	1008	83
