FSC-A	FSC-H	FSC-W	SSC-A	SSC-H	SSC-W	CD45	CD22	CD5	CD19	CD79b	CD3	CD81	CD10	CD43	CD38
258	239	1105	49	43	1168	556	374	528	432	365	617	407	630	476	775
271	215	1291	79	52	1553	459	712	568	772	486	726	241	613	454	1345
4094	2361	1774	3494	1481	2414	2832	1546	1181	502	1359	465	1151	2929	2039	1427
360	350	1051	93	86	1095	528	715	605	632	543	678	748	0	2878	0
295	283	1067	303	289	1074	942	537	366	598	468	619	1066	477	670	877
4094	1693	2475	4064	1402	2967	2809	1555	723	1148	1716	55	2005	2924	2594	2740
2752	1991	1415	3217	1809	1819	2798	1281	997	785	1259	0	473	3058	2210	1563
200	197	1039	86	79	1110	394	648	554	512	481	271	187	676	530	556
122	119	1045	48	42	1162	564	381	472	417	497	391	284	425	568	480
2365	1923	1259	2451	1835	1367	2594	1115	424	1197	1213	40	485	2864	2100	1358
130	133	1003	359	365	1008	572	454	320	333	524	574	610	1111	531	1653
232	185	1285	1108	920	1233	540	466	732	304	975	0	738	350	518	1087
274	230	1222	73	55	1350	477	451	1148	0	560	0	671	488	375	1497
168	157	1093	80	64	1285	468	503	439	549	582	758	753	770	387	627
190	146	1332	2318	1404	1690	540	509	492	405	1100	0	335	526	449	722
4094	2306	1817	4094	1937	2163	2932	1037	984	829	1689	728	482	3302	2462	1712
341	297	1175	106	71	1516	634	609	466	492	524	198	484	467	536	718
316	310	1043	186	163	1173	765	636	351	477	503	231	740	435	736	593
1523	1312	1188	398	341	1195	2858	180	2341	1146	1115	3058	1741	810	1504	1630
562	514	1119	2419	2095	1181	497	898	615	374	901	527	303	1221	681	514
417	362	1178	2008	1574	1306	616	469	397	894	1223	79	711	1182	949	337
291	276	1077	283	234	1233	427	512	533	380	460	574	605	535	459	538
2538	1938	1340	3048	2114	1475	2684	1235	578	1036	1433	691	707	3065	2223	1267
2197	1390	1617	1609	842	1957	2965	1534	1161	770	720	1977	1730	1343	2296	2629
2237	1646	1391	4094	2954	1418	1935	940	791	1117	1374	105	710	2389	1890	1207
1783	1529	1193	414	329	1288	2746	1143	672	486	833	218	2131	1177	2191	2920
2360	1743	1386	3096	1777	1783	2690	1030	995	403	1374	53	805	2682	2106	1653
107	106	1031	55	52	1086	1552	582	553	402	705	576	675	458	1321	1215
132	123	1100	74	63	1195	507	666	503	280	308	900	350	396	512	370
2834	2040	1422	3996	2400	1704	1907	774	834	245	1332	107	872	2449	1904	1274
2875	2024	1454	2759	1686	1675	2595	1323	883	277	1346	406	1104	2493	2177	1142
167	144	1188	72	55	1340	524	528	725	356	650	622	224	350	525	1056
1993	1516	1346	2557	1729	1513	2561	1041	1307	250	1303	32	837	2761	2053	1085
